area_input;local_input;valor_input;tipo_input;moeda_input;dia_input;hora_input
Refeição;Bar do Djalma;42.0;Despesa;R$;2025-07-15;15:55:00
Salário;Associação Fluminense de Reabilitação;3300.0;Receita;R$;2025-07-15;15:58:00
Refeição;Almoço;37.0;Despesa;R$;2025-07-15;16:36:00
